,Date,SP500-PE,SP500-Price,SP500-EPS,SP500-Index,EPS-GR,gdp,IPMAN,GS10,AMTMNO,CPIFABSL,LES1252881600Q,PCE,PPIACO,TTLCONS,SLRTTO01USQ657S,HousingSales,UnemploymentRate
0,1969-08-01,16.04,94.18,5.8715710723192025,100.0,,,,6.69,,38.4,,609.9,35.7,,,24900,3.5
1,1969-09-01,16.05,94.51,5.888473520249221,100.2878692554656,0.2878692554656004,,,7.16,,38.6,,613.2,35.8,,,26000,3.7
2,1969-10-01,16.32,95.52,5.852941176470588,99.68271020448951,-0.603421984601693,1038.147,,7.1,,38.7,,618.5,35.9,,1.12968594230978,24400,3.7
3,1969-11-01,16.54,96.21,5.816807738814994,99.06731379336642,-0.617355216226223,,,7.14,,39.1,,620.5,36.1,,,24900,3.5
4,1969-12-01,15.76,91.11,5.781091370558376,98.4590205816058,-0.6140200924690364,,,7.65,,39.5,,622.8,36.3,,,25100,3.5
5,1970-01-01,15.76,90.31,5.730329949238579,97.59449180907495,-0.8780594885303583,1051.2,,7.79,,39.6,,628.7,36.5,,-0.711919951634355,23600,3.9
6,1970-02-01,15.35,87.16,5.678175895765472,96.70624481639219,-0.9101404968842486,,,7.24,,39.8,,634.0,36.7,,,24100,4.2
7,1970-03-01,15.75,88.65,5.628571428571429,95.86142038042654,-0.8735986363338277,,,7.07,,39.8,,632.3,36.7,,,24100,4.4
8,1970-04-01,15.37,85.95,5.59206245933637,95.23962820955126,-0.6486365092523094,1067.375,,7.39,,39.9,,636.0,36.8,,0.497719502566689,24200,4.6
9,1970-05-01,13.69,76.06,5.555880204528854,94.62340038292929,-0.6470288032478511,,,7.91,,40.1,,642.4,36.8,,,25700,4.8
10,1970-06-01,13.69,75.59,5.52154857560263,94.03869096694221,-0.6179332106232005,,,7.84,,40.1,,646.3,36.9,,,23800,4.9
11,1970-07-01,13.85,75.72,5.467148014440434,93.11218321472133,-0.9852410137722756,1086.059,,7.46,,40.2,,648.5,37.1,,0.770783495316244,22900,5.0
12,1970-08-01,14.39,77.92,5.414871438498958,92.22184951531457,-0.9561946339004757,,,7.53,,40.2,,652.9,36.9,,,23500,5.1
13,1970-09-01,15.41,82.58,5.3588578844905905,91.2678705322033,-1.0344392225107857,,,7.39,,40.4,,659.1,37.1,,,22600,5.4
14,1970-10-01,15.97,84.37,5.283030682529743,89.9764410148408,-1.4149881111851004,1088.608,,7.33,,40.5,,658.3,37.1,,-0.985917898087871,22100,5.5
15,1970-11-01,16.19,84.28,5.205682520074119,88.65910768951886,-1.4640869437197002,,,6.84,,40.4,,656.6,37.1,,,23500,5.9
16,1970-12-01,17.55,90.05,5.131054131054131,87.3880954152774,-1.4335947060199472,,,6.39,,40.5,,665.6,37.1,,,22300,6.1
17,1971-01-01,18.12,93.49,5.159492273730684,87.87243158912737,0.5542358733742425,1135.156,,6.24,,40.5,,676.1,37.3,,3.53309244752175,23900,5.9
